Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
"Coldplay, Ghost Stories, Oceans.txt"	1	101	95.3	86.2	96.23	99	101	1.98	90.1	54.46	15.84	12.87	7.92	0	4.95	0	0	2.97	12.87	19.8	6.93	2.97	2.97	0.99	17.82	2.97	0	0	0	1.98	12.87	9.9	2.97	0	0	1.98	14.85	0	0	0	0	7.92	1.98	1.98	0	0.99	2.97	0	1.98	0.99	0	0.99	4.95	0	0.99	0	0	12.87	7.92	0.99	1.98	1.98	0	4.95	11.88	0	21.78	3.96	12.87	4.95	0	0	0	0	0	0	0	0	0	0	0	0	11.88	0	4.95	0	0	0	0	0	0	6.93	0	0
"David Guetta, Listen, Dangerous (feat. Sam Martin).txt"	1	269	14.49	50	83.17	1	269	14.5	94.42	50.93	18.96	12.64	7.43	2.23	2.97	0	0	6.32	5.58	5.58	11.15	8.18	5.2	2.97	21.19	8.18	0	1.86	1.12	0.37	6.69	0.37	6.32	0	0	0	7.81	1.49	0	0	0	9.67	3.72	0.37	1.12	1.49	0.37	2.6	8.55	3.72	1.12	2.23	1.86	0.37	0	0	1.49	12.27	2.23	0	0.37	4.46	5.2	1.12	17.84	1.49	14.13	3.72	7.06	5.58	0	0.37	0	0.37	0.37	0	13.01	0	0.37	0	11.52	0	17.47	0	11.15	0	0	0	0	0	0	6.32	0	0
"David Guetta, Listen, Hey Mama (feat. Nicki Minaj & Afrojack).txt"	1	518	9.34	98.4	35.22	62.38	518	4.63	92.28	52.9	28.76	22.97	12.93	0	8.69	0.97	0.39	5.79	4.63	6.37	14.48	2.7	2.9	1.16	22.39	2.12	3.47	1.93	0.19	0.39	5.41	3.67	1.74	0.19	0.39	0	28.57	6.76	0.39	9.65	2.51	7.53	0.97	1.16	2.7	0	1.93	0.77	1.74	0	1.35	0.19	1.74	0.77	0	0.39	0.77	4.63	0.58	0.58	1.74	1.74	0.77	0.58	17.18	5.02	7.72	0.39	2.9	4.44	0.58	2.12	0	0	0	0	6.56	0.77	0.58	1.54	0	0	18.15	0	10.81	0	0	0	0	0.19	0	7.14	0	0
"Demi Lovato, Confident (Deluxe Edition), Cool For The Summer - Suraci Remix.txt"	1	309	16.2	88.43	31.59	97.34	103	3.56	96.12	63.11	29.77	23.62	10.68	5.18	7.44	0	0.32	6.15	6.8	10.68	11.65	3.56	3.88	2.91	22.98	6.8	0	0.97	0.65	1.62	10.36	7.77	2.59	1.94	0.32	0	15.53	0.65	0	0.65	0	11.33	0.65	2.59	4.53	4.53	0	2.27	4.53	0	0	3.88	3.56	2.59	0	0.32	0.65	14.24	5.83	1.94	2.27	4.53	0.32	1.94	21.36	2.27	9.06	0	4.85	4.21	0	0.65	0	0	0.97	0.65	6.47	0.32	0	4.21	0	0	15.21	0	1.94	0	0	0.65	0	0	0	12.62	0	0
"Demi Lovato, Confident (Deluxe Edition), Cool For The Summer.txt"	1	328	16.48	88.86	25.63	94.91	82	3.35	94.82	62.5	29.57	23.78	10.98	4.27	8.23	0	0.3	5.79	6.71	10.37	10.98	3.66	4.27	2.74	22.26	5.49	0	0.91	0.61	1.52	8.84	6.71	2.13	1.52	0.3	0	15.85	0.91	0	0.91	0	11.59	0.61	2.44	4.88	4.57	0	2.13	3.96	0	0	3.05	4.27	3.05	0	0.3	0.91	13.41	4.88	2.13	1.83	4.88	0.3	2.44	20.12	2.44	8.23	0	4.88	3.35	0	0.61	0	0	0.91	0.61	5.79	0.3	0	3.35	0	0	15.85	0.91	3.05	0	0	0.61	0	0	0	11.28	0	0
"Drake, Views, Hotline Bling.txt"	1	439	10.82	89.47	99	51.33	439	6.38	92.26	57.18	28.47	20.96	11.16	0.23	9.57	0	0	7.52	2.28	10.71	5.69	8.88	5.47	2.28	17.54	5.01	1.14	4.56	2.05	1.14	3.19	2.28	0.91	0.23	0.23	0.23	18	0	0	0.91	0	17.31	4.78	3.87	2.96	2.28	2.96	1.82	2.96	0.46	1.82	0.68	2.05	0.23	0	0	0	5.24	2.51	0.23	1.14	1.37	0.23	5.69	12.98	0.23	21.64	1.14	8.88	12.07	0.46	0.91	0.23	0	0	0	0.46	0	0	0.46	0	0	6.83	0	3.42	0	0	0	0	0	0	3.42	0	0
"Drake, Views, Summers Over Interlude.txt"	1	71	17.1	1	99	52.17	71	5.63	98.59	57.75	18.31	16.9	15.49	0	1.41	0	0	1.41	9.86	5.63	8.45	5.63	7.04	9.86	23.94	9.86	5.63	0	0	1.41	4.23	2.82	1.41	0	0	0	7.04	0	0	0	0	23.94	9.86	0	0	5.63	0	8.45	8.45	1.41	0	7.04	1.41	0	1.41	0	0	7.04	4.23	0	5.63	1.41	0	4.23	25.35	0	19.72	4.23	8.45	7.04	0	1.41	0	0	0	0	0	0	0	0	0	0	14.08	0	2.82	0	0	0	0	0	0	11.27	0	0
"Echosmith, Talking Dreams (Deluxe Version), Cool Kids.txt"	1	302	63.79	69.02	5.85	99	15.1	3.97	97.68	58.94	20.53	14.9	7.95	0	0	2.65	4.3	5.63	10.26	12.25	11.59	1.32	2.65	1.99	23.84	8.94	6.29	0.66	0	2.32	8.61	8.61	0	0	0	0	17.55	0	0	1.66	0.99	18.87	2.98	1.99	8.28	1.99	2.98	2.65	9.93	0.99	0.99	7.95	1.32	0	1.32	0	0	2.32	0	0	0.66	1.66	0	0.99	12.58	4.64	8.94	2.65	5.96	0.99	0	0	0	0	0	0	8.61	0	0	8.61	0	0	21.52	6.62	9.93	0	0	0	0	0	0	4.97	0	0
"Echosmith, Talking Dreams (Deluxe Version), We're Not Alone - Bonus Track.txt"	1	284	46.2	95.43	93.16	1.34	284	10.21	92.61	54.23	18.31	15.14	0.7	13.38	1.06	0	0	3.17	6.69	13.38	8.1	3.52	6.34	5.63	25.35	11.97	4.93	1.76	0	0	6.69	1.76	4.93	0	0	4.93	15.14	0	0	0	0	11.97	1.76	3.17	0	0	0.7	6.34	6.34	4.58	0.35	1.41	5.28	3.17	2.11	0	0	17.61	13.38	1.41	1.76	2.46	0	2.46	16.9	5.63	21.13	3.17	13.03	5.99	0	1.06	0	0	0	0	1.06	0	0	0	1.06	0	16.9	0	4.23	0	0	0	0	0	0	12.68	0	0
"Ed Sheeran, X (Deluxe Edition), Shirtsleeves.txt"	1	287	12.53	91.82	91.58	20.49	287	9.06	89.2	58.54	27.87	25.78	12.54	0.35	12.54	0.35	0	2.09	3.14	12.89	12.89	5.23	5.23	1.39	24.04	1.05	0	1.05	0.7	0	4.53	2.09	2.44	0	1.05	1.39	15.68	0	0.35	0	0.35	3.83	0.7	1.39	0.35	0.7	0.7	0.7	9.41	5.92	0.7	1.05	14.29	11.15	0	0	2.09	6.62	2.09	0.35	3.83	0	0.35	2.44	8.71	9.06	16.03	2.44	8.71	5.23	0.35	0.35	1.39	0	0	0.7	0.35	0	0.35	0	0	0	12.2	0	3.83	0	0	0	0	0	0	8.36	0	0
