Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
"Major Lazer, Peace Is The Mission (Extended), Thunder & Lightning (feat. Gent & Jawns).txt"	1	149	51.05	98.59	70.1	1	18.62	16.78	79.19	49.66	13.42	12.08	0.67	0	10.74	0	0.67	1.34	5.37	11.41	8.05	4.7	10.74	0	14.77	1.34	0.67	0	0	0.67	4.03	0	4.03	2.68	0.67	0	12.08	0	0	0	0	2.01	0.67	0	0.67	0	0.67	0	7.38	0	4.03	3.36	1.34	0	0	0	1.34	6.04	0	0	5.37	0	0.67	0	15.44	1.34	23.49	8.05	10.07	5.37	0.67	0	0	0	1.34	0	0	0	0	0	0	0	20.81	0	11.41	0	0	0	4.7	1.34	0	3.36	0	0
"Mark Ronson, Uptown Special, Crack in the Pearl Pt. II.txt"	1	117	97.06	60.13	63.54	25.77	117	5.98	82.91	49.57	8.55	5.98	2.56	0.85	0.85	1.71	0	2.56	15.38	13.68	6.84	3.42	3.42	0.85	11.11	0.85	2.56	0	6.84	0.85	3.42	1.71	1.71	0	0	0.85	4.27	0	0	2.56	0	5.13	0	0.85	0	1.71	2.56	0	2.56	2.56	0	0	0.85	0	0	0	0.85	5.98	0.85	2.56	0	1.71	0.85	4.27	7.69	1.71	22.22	2.56	14.53	5.98	0	3.42	0	0	0	0	0	0	0	0	0	0	6.84	0	1.71	0	0	0	0	1.71	0	3.42	0	0
"Mark Ronson, Uptown Special, Uptown Funk.txt"	1	543	34.31	88.78	77.83	13.34	60.33	7.37	80.66	46.59	21.36	16.02	7	1.1	7.55	0	0.37	5.34	2.95	10.13	6.26	5.34	2.76	3.5	17.86	4.6	0.37	1.1	0.18	0.18	3.13	1.1	2.03	0	1.84	0	16.94	0	0	1.47	0.37	7	3.68	1.47	1.1	1.29	0	0.92	8.84	4.05	1.29	3.5	0.55	0	0	0.37	0.18	7.92	1.66	0	5.34	0.74	0.18	0.37	17.68	2.39	15.1	3.68	8.66	2.39	0.74	0.92	0	0.37	0.18	0	6.26	2.03	1.47	0	0.74	0	20.26	0	10.13	0	0	0.74	0.74	0	0	8.66	0	0
"Maroon 5, V (Deluxe), Shoot Love.txt"	1	280	17.52	76.25	74.76	78.19	140	8.93	88.21	48.93	17.5	13.93	7.14	0.36	6.43	0	0	3.57	4.64	10.71	13.21	4.64	3.57	10	27.86	1.43	0.36	2.14	0	0	11.43	7.14	4.29	1.43	0	0.71	18.57	4.29	0	0	0	7.5	2.5	2.86	0.36	0	0.71	1.07	9.64	1.79	2.5	5	9.29	2.5	0	0	0	17.5	7.14	2.14	3.21	5	0.36	2.86	19.29	2.5	14.64	4.29	5	5.36	0	0	0	0.36	0	0	1.43	0	0.71	0.71	0	0	18.93	0	5	0	0	0.36	0	0	0	13.57	0	0
"Maroon 5, V (Deluxe), Sugar.txt"	1	455	4.42	57.84	92.05	99	30.33	6.15	98.9	56.26	27.91	21.98	13.63	0	8.13	0	0.22	5.93	2.2	8.79	12.53	5.49	4.18	5.27	22.64	2.42	0.44	1.76	0.88	0.66	10.77	9.01	1.76	0.66	0.66	0.22	14.73	0.88	0.88	0.22	0.22	10.55	0	3.08	4.84	0.66	0.22	1.76	5.71	1.1	0	0.66	7.47	0.44	1.32	0	3.96	9.67	4.18	0	3.96	1.54	0	0.22	16.92	4.18	18.9	3.96	13.63	1.32	0	0.88	0	0.44	0	0.44	6.81	0.22	0.88	4.18	0	0	22.64	0	9.45	0	0	1.76	1.32	0.22	0	9.89	0	0
"Meghan Trainor, Title (Deluxe), All About That Bass.txt"	1	445	8.19	39.36	36.16	29.53	222.5	3.6	77.98	51.24	26.74	13.71	8.09	0.22	4.27	0.9	0.22	13.03	2.25	10.11	9.44	6.52	4.04	5.62	16.85	2.47	2.02	0.45	0.22	6.07	2.92	1.57	1.35	0.9	0.45	0	8.54	0.45	0	1.35	0.67	13.03	2.92	1.8	0.67	1.12	6.29	1.57	2.02	0.9	1.12	0	3.15	3.15	0.22	0	0.22	2.7	0.22	0.67	1.12	0.9	0.22	1.35	15.51	1.12	7.87	2.02	4.27	1.8	0	0.45	0	0	0	0	2.02	0.45	0.22	0.67	0.45	0	23.15	0	8.99	0	0	0	0.22	0	0	13.93	0	0
"Meghan Trainor, Title (Deluxe), What If I.txt"	1	174	1.05	56.86	86.38	78.43	21.75	9.77	99.43	64.37	31.03	22.99	14.37	0	8.05	0.57	0	8.05	2.87	5.75	13.22	4.6	8.05	4.6	16.67	1.15	0.57	4.02	1.15	0	7.47	5.17	2.3	1.15	0	0	20.11	0	5.17	0	1.72	13.22	0	0.57	7.47	6.9	0	7.47	2.3	0	2.3	0	0	0	0	0	0	6.32	3.45	1.15	0	1.72	0	2.3	14.94	10.34	13.79	0.57	4.02	9.2	0.57	0	0.57	0	0	0	10.34	0	0	2.87	3.45	0	21.26	0	10.34	0	0	4.6	0	0	0	6.32	0	0
"Nick Jonas, Nick Jonas X2, Jealous.txt"	1	326	1.24	46.32	72.23	3.03	163	14.72	95.4	57.98	30.37	22.39	14.11	0	6.75	0.61	0.92	7.98	1.84	6.44	12.88	10.12	3.99	3.07	23.62	7.36	0	2.76	0.61	0.31	12.27	4.91	7.36	0.92	4.91	0.31	12.27	0	0	0	0.61	13.8	1.84	4.6	2.76	0.61	1.84	2.76	6.13	3.07	1.23	0	5.83	1.84	0	1.84	1.84	8.28	0.61	0.31	1.53	4.91	1.23	0.92	21.78	2.45	9.2	0.92	3.99	3.99	0	0.92	0	0	0.92	0	1.23	0	0	0.61	0.61	0	16.87	0	3.68	0	0	0.31	0	0	0	12.88	0	0
"Nick Jonas, Nick Jonas X2, Teacher - Young Bombs Remix Radio Edit.txt"	1	233	1	51.72	96.33	2.67	25.89	3	97.42	63.09	35.19	29.18	18.88	0.86	9.44	0	0	6.01	2.58	6.01	7.73	11.16	6.01	2.15	15.45	3.43	2.58	6.44	0.43	0.43	5.15	1.29	3.86	0	0.43	0	12.88	0.86	0	1.29	0	9.87	1.29	5.15	0.86	0	0.86	1.72	0.43	0	0.43	0	2.58	1.72	0	0	0	12.88	2.15	0	4.72	2.58	3.43	1.29	13.73	1.72	10.73	1.72	3.43	6.44	1.29	0.86	0	0	2.58	0	12.45	0	0.43	0	11.16	0	20.17	0	12.45	0	0	3.43	0	0	0	4.29	0	0
"Omarion, Sex Playlist, Already.txt"	1	188	1.66	97.5	84.65	93.02	188	10.64	94.68	66.49	31.38	28.72	12.77	2.66	13.3	0	0	2.66	2.66	11.17	15.96	5.32	8.51	3.19	21.28	2.13	0.53	0.53	0.53	0.53	8.51	6.38	2.13	1.06	0.53	0	23.94	1.6	1.06	2.66	0	7.98	1.06	0.53	1.6	1.06	0.53	3.19	1.06	0	1.06	0	2.13	1.06	0	0	1.06	5.32	2.66	0	1.6	1.06	0	4.26	17.55	1.06	11.7	2.66	5.32	3.72	0	1.06	0	0	0	0	1.06	1.06	0	0	0	0	17.55	0	6.91	0	0	0	0	0	0	10.64	0	0
"Omarion, Sex Playlist, Post To Be (feat. Chris Brown & Jhene Aiko).txt"	1	626	11.85	50	61.06	23.28	626	3.99	94.57	64.06	28.27	18.69	9.74	0.32	2.88	5.11	0.64	9.58	3.19	15.5	14.38	4.63	6.23	2.24	23.48	0.8	3.51	4.15	0	1.28	2.72	1.28	1.44	0.16	0.8	0	14.7	0.16	0.64	5.91	1.76	11.5	1.76	3.04	1.6	1.44	2.08	3.35	1.28	0.64	0.48	0.16	0.96	0.32	0	0.16	0.48	5.91	1.28	0.32	1.92	2.56	0.16	1.92	17.89	3.04	14.54	3.99	4.63	1.28	0.48	0.32	0.48	1.12	0.16	0.64	5.59	2.56	1.76	0.32	0	0	11.34	0	3.67	0	0	0	0	0	0	7.67	0	0
"OMI, Me 4 U, Cheerleader - Felix Jaehn Remix Radio Edit.txt"	1	287	1.76	40.36	89.63	44.95	41	5.57	94.08	59.93	31.36	27.53	16.72	0	3.48	6.62	0.7	3.83	5.23	4.53	12.89	8.01	5.57	2.09	27.18	1.39	2.09	3.48	0.7	1.05	3.83	2.44	1.39	0	0.7	0.7	15.68	0.7	0	8.36	0	20.56	6.97	3.14	4.18	1.05	3.48	2.79	1.39	0	0.7	0.7	1.05	0	0	0	0	4.18	1.05	2.44	0.7	0.35	0	4.18	23.34	0.35	12.89	1.39	5.23	6.62	0.35	0	0	0	0	0	3.48	0	0	1.39	2.09	0	13.94	0	4.18	0	0	2.09	0	0	0	7.67	0	0
"OMI, Me 4 U, Stir It.txt"	1	303	1	92.2	97.69	25.77	303	2.64	97.69	60.4	28.38	18.48	6.6	4.95	6.93	0	0	9.9	0	2.31	12.21	14.19	4.29	5.94	20.13	2.31	0.33	1.32	0.99	3.96	0	0	0	0	0	0	16.17	0	0	1.98	0	12.21	1.98	0.99	1.98	0	5.94	1.32	4.62	0.99	1.32	2.31	1.98	1.98	0	0	0	5.28	4.95	0	0	0.33	0	0.33	29.37	0.33	25.08	6.6	7.59	14.85	0	0	0	0	0	0	4.62	0	0	0.99	3.3	0	11.22	0	6.6	0	0	0	0	0	0	4.62	0	0
"One Direction, Made In The A.M. (Deluxe Edition), Drag Me Down.txt"	1	363	1	6.16	85.21	67.43	363	1.38	94.77	70.25	32.78	21.76	13.5	0	6.06	0.83	1.38	11.02	4.68	10.19	13.22	6.61	4.13	14.88	15.43	1.93	0.83	2.48	1.38	2.75	3.31	2.75	0.55	0.55	0	0	12.4	1.1	0	0	1.38	14.88	0.55	1.1	2.2	1.65	6.61	5.51	5.79	5.23	0	0.55	4.68	0.55	2.75	0	0	7.16	1.38	0.83	4.68	1.93	0	7.44	11.29	0	10.74	0	5.51	5.23	0.55	0	0	0	0.55	0	0.55	0	0	0.55	0	0	10.74	0	5.23	0	0	0	0	0	0	5.51	0	0
"One Direction, Made In The A.M. (Deluxe Edition), Hey Angel.txt"	1	274	29.34	92.26	20.51	53.2	22.83	2.55	98.54	62.41	25.91	24.09	12.77	1.82	9.49	0	0	1.82	5.84	12.77	15.69	3.28	1.82	0	26.28	7.3	9.12	1.82	0	5.11	2.19	1.82	0.36	0	0	0.36	16.06	0	0	0	0	12.04	0.73	0.73	9.49	0.36	0.73	0.36	7.66	3.65	3.28	0	2.55	0.73	1.09	0	0.73	3.28	1.82	0.36	1.09	0	0	0.36	16.42	4.38	11.68	1.82	7.3	3.28	0	0.73	0.73	0	3.28	0.73	6.57	0	0	0.73	2.55	0	9.12	0	3.65	0	0	4.01	0	0	0	1.46	0	0
"OneRepublic, Native, Counting Stars.txt"	1	535	1.63	22.74	72.97	8.11	107	11.78	92.52	59.07	28.04	17.94	13.64	3.93	0.19	0.19	0	10.09	5.61	4.3	21.87	3.55	3.93	3.18	34.77	3.93	1.5	0.37	0.19	1.68	2.99	0.75	2.24	0	0.37	1.31	8.04	1.31	0	0.19	0	12.52	4.86	0.75	2.8	0.75	0.75	2.8	9.16	1.87	2.8	4.49	2.43	1.68	0.56	0	0	8.04	4.11	1.31	0.19	1.87	1.87	8.79	19.07	3.93	6.36	0.56	3.18	2.62	2.99	2.8	0	3.36	1.31	0.93	0.75	0	0	0.37	0.19	0	20.19	0.37	9.35	0	0	0.37	0	0.19	0	9.91	0	0
"OneRepublic, Native, Don't Look Down.txt"	1	25	4.68	97.69	96.63	25.77	25	8	100	48	20	20	12	0	8	0	0	0	0	8	20	0	0	12	44	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	24	8	16	0	0	0	0	0	0	8	0	0	8	0	0	0	48	0	20	12	8	0	0	0	0	0	4	0	8	0	0	0	0	0	36	4	20	0	0	0	0	0	0	12	0	0
"Passenger, All The Little Lights (Deluxe Version), Feather On The Clyde - Acoustic.txt"	1	238	23.38	20.05	81.91	25.77	238	7.56	92.86	60.5	20.17	12.61	8.82	0	1.26	2.52	0	7.56	8.82	11.34	11.34	5.46	12.61	1.26	19.33	7.98	3.36	0.84	0.42	3.36	10.92	5.46	5.46	2.1	0	2.94	4.62	0.42	0	1.68	0.84	13.03	2.52	1.68	0.84	0.84	2.94	4.2	3.36	1.26	0.42	2.1	2.94	2.1	0.42	0	0.42	6.72	0	1.68	4.2	0.42	2.1	1.68	16.39	0.84	14.29	3.36	8.82	2.1	0.84	1.68	0	0	0.84	0	2.94	0	0	0	2.94	0	8.4	0	0.84	0	0	0	0	0	0	7.56	0	0
"Passenger, All The Little Lights (Deluxe Version), Let Her Go.txt"	1	398	1	99	63.79	4.91	398	5.28	98.24	58.79	24.62	21.61	0	0	14.32	7.04	0.25	3.02	4.77	3.02	10.55	18.59	11.31	0.5	29.4	3.02	0.5	8.29	0.5	0.25	11.06	4.52	6.53	0	1.26	5.28	24.87	0	0	7.04	0	10.55	5.53	1.51	1.51	0.5	1.01	0.75	6.03	2.76	0	3.27	3.77	0.75	0	0	0	7.29	3.02	0.25	4.02	0	0	2.51	18.84	0.75	25.38	6.03	7.29	13.07	0	0.5	1.26	0	0	0.25	1.01	0	0	0	1.01	0	6.28	0	0	0	0	0	0	0	0	6.28	0	0
"Pharrell Williams, G I R L, Gush.txt"	1	467	25.89	67.35	71.52	49.7	33.36	2.78	93.15	56.32	25.27	18.84	10.49	1.28	6.85	0.21	0	6.42	3.85	12.21	14.56	1.5	1.07	3.21	23.77	3.85	0.21	1.28	0	0	1.28	1.28	0	0	0	0	14.78	1.28	0.64	5.78	0.64	11.56	2.14	2.57	4.71	0.21	0	1.93	6.85	3.64	0	3.21	3.43	2.78	0	0.86	0.64	5.57	1.28	0.21	1.28	2.78	0	2.57	21.2	4.71	14.78	5.57	8.35	0.86	0	0.64	0	0	0	0	6.85	2.78	0	0	0	0	20.77	0	10.49	0	0	2.78	0	0	0	7.49	0	0
"Pharrell Williams, G I R L, Happy - From Despicable Me 2.txt"	1	512	16.77	43.01	65.79	99	512	10.35	97.46	62.5	22.66	17.97	9.57	0	8.2	0.2	0	4.69	4.3	14.26	13.09	2.73	9.77	4.3	21.48	11.91	3.71	2.73	0	0.2	16.02	15.23	0.78	0	0.2	0	10.94	0.2	0	0.2	0	21.29	4.88	4.88	6.25	5.27	2.54	7.03	9.38	0.2	5.47	3.71	0	0	0	0	0	3.71	0	0	2.93	0.39	0.39	0.78	21.09	1.56	8.4	2.73	5.08	0.59	0	0	1.17	0	0	0	3.32	0	0	0.59	0.59	0	16.41	0	7.23	0	0	0	0	0	0	9.18	0	0
"Pitbull, Globalization, Day Drinking.txt"	1	393	55.46	68.55	98.32	4.78	196.5	9.92	94.91	52.67	17.81	11.7	4.33	3.56	3.56	0	0.25	6.11	4.07	14.76	4.33	3.05	8.65	3.56	18.32	4.83	0.51	1.27	0	4.83	4.07	1.02	3.05	0	0.25	0.51	9.16	0.25	0	0	0	6.87	0.51	1.53	0.51	0	3.56	0.76	3.82	2.8	1.02	2.29	5.6	0.25	0	0.25	4.83	9.92	4.07	0	5.6	0.25	0	1.27	15.27	2.29	28.75	9.92	9.92	8.65	0	5.85	0	0	0	0	5.85	2.8	2.54	0.51	0	0	7.89	0	3.05	0	0	0	0.25	0.76	1.02	2.8	0	0
"Pitbull, Globalization, Time Of Our Lives.txt"	1	640	41.27	42.56	99	49	213.33	6.88	95.62	56.25	25.47	16.25	11.56	2.03	1.25	1.41	0	9.22	5.78	12.97	6.25	5.31	3.91	1.41	20.62	3.44	2.19	0.16	0.31	0.62	3.59	2.34	1.09	0.16	0.16	0.31	12.5	0.94	0	1.72	0.16	10.16	1.41	0.31	0.94	2.19	1.72	3.59	2.97	0.78	0.62	1.56	3.44	1.56	1.25	0.16	0.31	12.97	3.28	1.41	3.28	5.31	0.16	5.78	14.38	3.59	20.78	4.53	6.41	10	1.25	1.41	0.62	1.41	0.31	0	7.97	1.09	2.19	0.94	1.25	0	15.94	0.16	8.75	0	0	0	0.31	0.16	0	6.41	0	0.16
"R. City, What Dreams Are Made Of, Locked Away.txt"	1	569	2.74	54.21	57.56	92.76	13.55	3.87	94.9	64.67	30.58	27.24	18.1	0.88	8.26	0	0	3.34	2.81	7.73	13.53	5.62	5.45	2.81	25.31	2.81	1.93	1.23	0	1.58	7.73	5.98	1.76	0	0	1.76	19.51	1.05	0	0.7	0	19.16	0.88	0.35	12.65	4.75	1.76	6.5	1.23	1.05	0.18	0	3.16	0	0.88	0	0	7.91	3.16	0.88	2.64	1.05	0.18	3.51	16.17	0.53	9.31	1.23	3.87	4.39	0	0.18	0	0.7	0	0.7	2.46	0.18	1.23	0.7	0.35	0	15.82	0	3.87	0	0	7.38	0	0.7	0	3.87	0	0
"R. City, What Dreams Are Made Of, Our Story.txt"	1	2105	31.93	95.35	55.96	38.43	161.92	9.31	89.98	56.29	19.1	14.49	3.33	7.41	2.47	0.62	0.67	4.61	3.61	13.82	8.17	7.51	7.55	2.19	20.24	2.99	3.71	1.81	1.24	2.19	3.18	1.95	1.24	0.14	0.76	0.14	15.96	1.09	0.29	0.33	2	10.55	2.9	1.28	1.33	1.33	1.81	2.76	2.95	0.76	1.81	0.38	1.62	0.76	0.19	0.24	0.19	14.92	9.17	2.23	1.71	2.66	0.14	8.5	10.07	1.81	14.87	3.23	6.98	5.37	2.52	2.14	0.67	1.19	0.19	0	3.14	0.76	1.43	0.33	0.33	0.05	14.44	0.33	7.98	0	0	0.33	0	0.33	0.19	5.18	0	0.1
"Robin Schulz, Sugar, Headlights (feat. Ilsey).txt"	1	191	9.01	50	90.29	34.88	95.5	5.76	91.62	56.54	20.42	15.71	8.38	0	7.33	0	0	4.71	7.33	7.33	14.66	5.24	8.38	5.24	25.13	3.14	0.52	1.05	0	3.14	4.71	2.62	2.09	0	0	0	12.04	2.09	0	0	0	19.37	4.71	1.05	4.71	2.62	5.24	5.76	6.28	2.09	0	4.19	1.57	0.52	0.52	0	0	2.09	0.52	0.52	0.52	0.52	0	0.52	21.47	2.09	14.66	4.19	4.19	7.33	0	1.05	0	0	0	0	4.71	0	0	2.09	2.62	0	16.23	0	5.76	0	0	0	0.52	0	0	9.95	0	0
"Robin Schulz, Sugar, This Is Your Life.txt"	1	238	9.24	99	75.87	25.77	238	2.52	94.96	63.45	26.89	13.03	0	5.04	7.98	0	0	13.87	3.36	10.92	11.34	5.88	7.56	1.68	18.91	0	1.68	3.36	0	5.04	3.36	1.68	1.68	0.84	0	0	15.55	0	0	0	0	5.88	0	0	0	0	5.88	0	2.52	0.84	1.68	0	4.62	0	2.94	0	0	10.92	6.72	0	2.52	1.68	0	0.84	14.71	3.36	25.21	5.88	16.81	3.36	0	0	1.68	0	1.68	0	1.68	0	1.68	0	0	0	7.56	0	1.68	0	0	0	0	0	0	5.88	0	0
"Sam Smith, In The Lonely Hour, Good Thing.txt"	1	215	19.46	40.82	94.68	92.54	215	6.05	98.6	64.65	24.65	18.6	11.63	0.47	6.51	0	0	6.05	5.58	13.02	10.7	6.98	3.26	5.58	21.86	3.72	2.33	1.86	0.47	2.79	7.91	6.05	1.86	0.47	0	0	10.23	0	0	0	0	13.02	2.33	1.86	2.33	0.93	3.26	2.33	4.19	2.33	1.86	0	1.86	0.93	0.47	0	0	8.37	0.93	0	0.93	5.12	1.4	5.12	13.02	1.86	16.74	4.65	6.05	6.98	0.47	2.33	0.47	0	0	0.47	0	0	0	0	0	0	7.44	0	3.26	0	0	0	0	0	0	4.19	0	0
"Sam Smith, In The Lonely Hour, Stay With Me.txt"	1	165	2.57	19.82	87.42	99	23.57	3.64	98.79	57.58	26.67	18.79	12.12	0	6.67	0	0	7.88	1.82	10.91	15.15	4.24	5.45	9.09	30.3	4.24	0	0.61	0.61	3.03	8.48	7.27	1.21	0	0	0.61	13.33	0	2.42	0	0.61	24.24	1.21	4.24	3.64	1.82	6.67	7.27	6.67	5.45	0	1.21	3.64	0.61	0	0	0	7.27	3.03	1.82	1.21	1.82	0	0	27.88	3.64	10.91	6.06	6.67	3.03	0.61	0	0	0	0	0	2.42	0	0	0	2.42	0	30.91	0	9.7	0	0	3.64	0	1.21	0	16.36	0	0
"Selena Gomez, Revival (Deluxe), Good For You.txt"	1	455	20.83	82.77	57.91	98.97	151.67	5.27	91.65	57.36	24.84	21.98	10.77	0.44	10.33	0.22	0.22	2.86	3.96	12.31	9.45	5.71	4.4	3.74	17.8	1.98	0.66	0.88	0.44	0.66	12.09	9.01	3.08	0.44	0.44	0.22	15.38	0.22	0	0.88	0	8.35	0.66	2.2	1.76	1.1	0.88	1.76	6.37	3.3	0.44	2.86	2.86	2.2	0.22	0	0	14.51	1.32	1.32	2.2	7.25	2.42	0.66	15.82	2.64	10.99	1.98	6.37	2.64	0	0.44	0	0.66	0	0	4.84	0.44	0.88	2.2	0	0	20.44	0	12.09	0	0	0.44	0	2.42	0	5.49	0	0
"Selena Gomez, Revival (Deluxe), Rise.txt"	1	339	54.61	99	68.51	64.91	339	4.42	90.56	64.6	19.47	16.81	0.88	0	15.63	0	0.29	2.65	9.44	15.04	13.57	4.42	5.31	0.59	10.03	2.06	6.49	1.77	0	0.29	3.24	2.65	0.59	0	0.29	0.29	17.11	0	0	0	0	6.49	1.77	1.18	0.88	0.59	0.88	1.47	2.65	1.47	0	1.18	2.36	1.77	0.59	0	0	5.01	0	0.88	3.83	0.29	0	0.88	15.04	2.06	20.65	6.49	15.63	3.24	0	0.29	0	0.29	0.29	0	2.06	0	0	1.18	0	0	5.01	0	3.54	0	0	0	0	0	0	1.47	0	0
"Shawn Mendes, Handwritten, I Don't Even Know Your Name.txt"	1	269	1	54.44	99	39.03	269	10.41	95.91	59.11	31.6	26.02	15.99	0	10.04	0	0	5.58	1.12	5.95	14.87	5.2	7.43	5.2	28.25	0.74	0	1.12	0	1.49	3.72	2.23	1.49	0	1.49	0	13.75	0	0	0	0	13.75	5.58	2.23	0.37	0.74	3.35	1.49	2.97	2.6	0	0.37	4.83	3.35	0.74	0	0	2.97	0.74	0	0.37	0	1.86	3.72	17.84	2.6	16.36	4.83	5.95	5.58	0	2.97	0	0	0	2.23	2.97	0	0	1.12	1.12	0.74	24.16	0	9.29	0	0	0	0	0	0	14.87	0	0
"Shawn Mendes, Handwritten, Stitches.txt"	1	362	18.31	21.14	98.91	30.43	362	14.09	90.06	58.01	27.07	22.1	15.47	0	6.63	0	0	4.97	3.87	13.54	9.67	3.59	6.63	3.59	23.76	2.49	1.1	0.28	0	0	5.8	3.04	2.76	0.83	0.28	0.28	9.12	0.28	0.55	0	0	10.77	1.66	0.55	3.59	1.1	0.28	4.7	4.42	1.38	0	2.49	7.46	4.7	3.04	0.55	0	9.39	3.59	0.55	4.14	1.93	0	1.38	14.36	5.8	16.57	4.97	7.46	4.42	0	0	0	1.1	0	1.38	2.49	0	2.21	0	0.28	0	14.36	0	6.35	0	0	0	0	0	0	8.01	0	0
"Sheppard, Bombs Away, Geronimo.txt"	1	298	57.69	95.94	71.99	63.95	7.27	17.11	78.52	48.99	18.79	13.09	6.71	2.01	4.36	0	0	5.7	6.04	12.42	6.71	5.03	5.37	0.34	20.81	1.68	0.67	0.34	0	0.34	4.7	3.36	1.34	0	0	1.01	19.8	0	0.34	0	0.67	7.05	3.36	1.68	0.34	0.34	0.34	1.68	13.76	0.34	10.4	3.02	3.02	0.67	0	0	0	6.38	4.7	0.67	0.67	0.34	0	2.68	21.81	0.34	13.09	2.68	8.72	2.35	0	0.34	2.01	0.34	0	0	1.01	0	0	0.34	0.67	0	25.84	0	9.4	0	0	2.68	11.07	0	0	2.68	0	0
"Sheppard, Bombs Away, Halfway To Hell.txt"	1	285	80.58	96.84	98.65	25.77	142.5	8.07	96.84	59.3	15.09	10.88	0	5.26	3.51	0	2.11	4.21	11.23	18.25	9.82	8.07	4.21	0.7	18.25	7.37	6.67	2.81	0.35	4.91	5.61	2.81	2.81	0	2.11	0.35	15.44	0	0	0	0	14.04	3.16	0.7	0	3.51	5.26	3.86	2.46	1.75	0.35	0.35	2.11	1.05	0.35	0	0.35	8.07	5.96	0.7	1.75	0	0	1.05	16.84	0.35	27.37	2.46	20	7.37	0	0.35	0	0.35	1.05	0.35	1.75	1.05	0	0	0.7	0	9.82	0	2.11	0	0	0.35	0	0	0.7	6.67	0	0
"Sia, 1000 Forms Of Fear (Deluxe Edition), Big Girls Cry - Bleachers Remix.txt"	1	267	18.68	29.99	97.65	1	267	6.37	91.39	49.44	20.22	17.23	12.36	0	1.5	0	3.37	3	2.25	10.86	10.11	4.49	6.74	4.49	19.48	6.37	0.37	4.12	0	1.12	13.11	3	8.61	0	0.37	7.12	11.99	0	0	4.87	0	5.99	0	0	1.12	3.37	1.87	1.87	3	1.12	0.75	1.12	10.86	8.24	2.25	0	0	11.61	0.75	0.75	9.74	1.12	0	2.25	11.61	1.12	19.85	0.37	13.11	5.99	1.87	1.5	0.75	0.75	0.75	0	0	0	0	0	0	0	10.11	0	4.49	0	0	0	0	0	0	5.62	0	0
"Sia, 1000 Forms Of Fear (Deluxe Version), Elastic Heart.txt"	1	351	4	18.09	91.78	30.59	175.5	6.84	91.17	56.7	23.08	18.8	13.68	0.85	4.27	0	0	4.27	5.7	4.84	14.81	5.41	8.83	3.42	24.5	2.28	1.14	0.28	1.71	1.14	4.84	2.56	2.28	0	1.42	0.28	7.98	0	0	0	0	11.97	0.57	1.42	1.42	2.56	0.85	5.13	7.41	2.28	0	5.13	5.41	4.56	0.57	0	0	6.55	1.14	0.85	0.85	3.13	1.14	5.41	13.68	5.13	11.4	5.13	3.13	3.7	0	1.14	0	0	0	0.28	3.13	0	0	1.71	1.42	0	16.24	0	6.84	0	0	0.28	0	0	0	9.12	0	0
"Skrillex, Skrillex And Diplo Present Jack ÌÏ, Dont Do Drugs Just Take Some ÌÏ.txt"	1	127	38.99	76.08	71.51	55.46	21.17	12.6	89.76	51.18	16.54	9.45	2.36	1.57	4.72	0	0.79	7.09	4.72	11.81	11.81	7.09	2.36	3.15	20.47	7.09	4.72	0	2.36	3.94	3.15	2.36	0.79	0	0	0	9.45	0	0	0	0	7.87	2.36	0.79	0.79	1.57	0	2.36	3.94	0	2.36	1.57	7.09	1.57	5.51	0	0	7.87	2.36	0	1.57	3.94	0	2.36	14.96	5.51	18.11	3.94	9.45	5.51	0	0.79	0	0	0	0	7.09	0.79	3.15	1.57	0	0.79	16.54	3.94	6.3	0	0	0	0	0	0	6.3	0	0
"Skrillex, Skrillex and Diplo Present Jack ÌÏ, Where Are ÌÏ Now.txt"	1	330	1	99	41.42	42.25	20.62	1.82	99.39	74.55	47.88	41.82	15.45	0	26.36	0	0	6.06	5.15	2.42	7.27	11.52	2.12	1.82	24.85	2.12	1.52	5.76	0	1.82	2.73	1.82	0.91	0.3	0	0.61	29.09	0	0	0	0	17.88	0.91	0	12.12	2.42	0.91	1.82	1.21	0.61	0.3	0.3	0.61	0.61	0	0	0	1.52	0.3	0	0.91	0	0.3	4.55	23.64	0.61	13.64	0.91	6.97	6.06	0.3	0.61	0.3	0.3	0.91	0	0.3	0	0	0	0.3	0	20.61	0	14.24	0	0	4.55	0	0	0	1.82	0	0
